
rio,ponto,data,ph,od,turbidez,dbo,coliformes,p_total,nt_total,temperatura,tds,lat,lon
BURANHEM,FBS-BRH-450,2020-12-02,6.609999999999999,8.19,24.6,6,1.6,0.1,1.0,23.9,64,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2021-05-19,7.59,8.850000000000001,4.4,3,1.8,0.02,1.0,25.5,63,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2021-10-06,7.7,6.94,3.1,3,2.3,0.02,1.0,27.8,66,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2022-03-10,5.69,6.28,18.0,3,1.6,0.03,1.0,26.7,67,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2022-06-09,7.23,6.2,6.1,3,6.8,0.02,1.0,26.7,58,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2022-10-13,7.14,6.2,2.6,3,2.3,0.02,1.0,29.1,55,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2022-11-25,6.28,6.3,71.7,3,4.6,0.06,1.0,27.0,50,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2023-05-24,8.19,5.59,8.8,3,7.9,0.03,1.0,26.2,50,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2023-09-19,7.06,6.35,7.2,3,7.8,0.02,1.0,26.5,57,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2023-11-09,8.16,5.4,4.5,3,1.6,0.02,1.0,30.4,63,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2024-02-20,7.57,6.05,28.7,3,9.2,0.05,1.2,28.4,50,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2024-05-30,8.16,4.64,9.0,3,7.9,0.03,1.0,27.9,50,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2024-09-04,7.74,6.05,4.0,3,1.1,0.04,1.0,29.1,50,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-950,2022-06-10,7.18,6.0,22.0,3,1.3,0.06,4.0,25.1,9910,,
BURANHEM,FBS-BRH-950,2022-10-14,6.83,6.4,13.0,4,1.6,0.07,1.7,29.5,2310,,
BURANHEM,FBS-BRH-950,2022-11-26,6.23,6.7,47.1,3,1.6,0.11,1.5,25.9,82,,
BURANHEM,FBS-BRH-950,2023-05-25,7.21,10.6,15.0,3,1.6,0.02,1.0,27.5,99,,
BURANHEM,FBS-BRH-950,2023-09-20,6.25,5.05,7.4,3,1.6,0.06,1.0,28.1,327,,
BURANHEM,FBS-BRH-950,2023-11-09,7.44,6.1,5.3,3,5.4,0.02,1.0,30.4,50,,
BURANHEM,FBS-BRH-950,2024-02-21,7.37,4.819999999999999,41.1,3,1.6,0.08,1.6,26.4,96,,
BURANHEM,FBS-BRH-950,2024-05-31,6.78,6.930000000000001,21.4,3,7.9,0.02,1.1,23.5,99,,
BURANHEM,FBS-BRH-950,2024-09-05,6.859999999999999,4.91,8.6,3,1.6,0.09,1.0,29.5,580,,
