rio	campanha	ponto	data	iqa	iet	grupo	parametro	classe	unidade	padrao_legal	valor	lat	lon
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Físicos - Água	STD	Classe 2 - Doce	mg/L	Máximo 500	80	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Físicos - Água	Temperatura	Classe 2 - Doce	ºC	NE	24,4	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Físicos - Água	Turbidez	Classe 2 - Doce	NTU	Máximo 100	40,4	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	% Saturação de Oxigênio Dissolvido	Classe 2 - Doce	%	NE	60,4	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	Alcalinidade total	Classe 2 - Doce	mg CaCO3/L	NE	23	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	Cloreto	Classe 2 - Doce	mg Cl/L	NE	9,5	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	DBO	Classe 2 - Doce	mg/L	Máximo 5	6	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	DQO	Classe 2 - Doce	mg O2/L	NE	<30,0	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	Nitrogênio Nitrato	Classe 2 - Doce	mg N-NO3/L	Máximo 10	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	N-NH3	Classe 2 - Doce	mg N-NH3/L	NE	<0,4	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	N Total	Classe 2 - Doce	mg N/L	NE	<1,0	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	OD	Classe 2 - Doce	mg OD/L	Mínimo 5	5,27	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	Ortofosfato solúvel	Classe 2 - Doce	mg P/L	NE	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	pH	Classe 2 - Doce	s/ unid	Entre 6 - 9	6,75	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2020	FBS-BRA-900	01/12/2020	63	55	Químicos - Água	P Total	Classe 2 - Doce	mg P/L	Máximo 0.10000	0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2021	FBS-BRA-900	18/05/2021	75	46	Biológicos - Água	clorofila	Classe 2 - Doce	µg/L	Máximo 30	<0,40	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2021	FBS-BRA-900	18/05/2021	75	46	Biológicos - Água	clorofila	Classe 2 - Doce	µg/L	Máximo 30	<0,40	-16,5064444	-39,4790556
